topic,theme,area,learning_objective 
Usability Engineering & Evaluation,Interactive Design Techniques:,Cartography and Visualization,"Create an experiment with a mixed methods approach for which the reliability of the obtained results is a major concern. Then, create an experiment with a mixed methods approach for which the ecological validity of the obtained results is a major concern."
Geovisualization,Interactive Design Techniques:,Cartography and Visualization,"Understand how geovisualization is defined, differentiate between the different ways in which the term geovisualization is used"
Geovisualization,Interactive Design Techniques:,Cartography and Visualization,"Identify the characteristics of geovisualization as a process, and relate these characteristics to modern day mapping systems and map use"
Geovisualization,Interactive Design Techniques:,Cartography and Visualization,"Understand the relevant abilities, skills, and literacy in successfully working with geovisualization environments"
Geovisualization,Interactive Design Techniques:,Cartography and Visualization,Use a geovisualization application to explore a geospatial dataset. Note the geographic insights you find and hypotheses worth pursuing with additional analysis and visualization
Geovisualization,Interactive Design Techniques:,Cartography and Visualization,Imagine that you want to show global migration patterns over time for an online newspaper for an interactive story aimed at public
Geovisualization,Interactive Design Techniques:,Cartography and Visualization,.
Geovisualization,Interactive Design Techniques:,Cartography and Visualization,
Geovisualization,Interactive Design Techniques:,Cartography and Visualization,According to the Cartography
Geovisualization,Interactive Design Techniques:,Cartography and Visualization,3
Geovisualization,Interactive Design Techniques:,Cartography and Visualization,"’s three dimensions, what are the main considerations in this project?"
Geovisualization,Interactive Design Techniques:,Cartography and Visualization,
Geovisualization,Interactive Design Techniques:,Cartography and Visualization,What are the steps in creating an interactive geovisualization in such a project?
Geovisualization,Interactive Design Techniques:,Cartography and Visualization,
Geovisualization,Interactive Design Techniques:,Cartography and Visualization,What procedures must one follow to ensure that the proposed visualization solution functions as intended?
Geovisualization,Interactive Design Techniques:,Cartography and Visualization,
Geovisualization,Interactive Design Techniques:,Cartography and Visualization,"What tools would be most appropriate in creating such a geovisualization display, and why?"
Geovisualization,Interactive Design Techniques:,Cartography and Visualization,
Geovisualization,Interactive Design Techniques:,Cartography and Visualization,Create a scenario similar to the one described above where a geographic phenomenon needs to be visualized for a
Geovisualization,Interactive Design Techniques:,Cartography and Visualization,specific user group.
Geovisualization,Interactive Design Techniques:,Cartography and Visualization,"You can choose any user group, that you can define e.g., people of certain age (children or older adults), people who cannot read, have serious vision problems, people who need to get around in wheelchairs, etc. How would you optimize the design for the user group you have in mind? Based on a cognitive walkthrough, list hypothetical user requirements, relevant user characteristics, and create a (mockup) geovisualization that meets these requirements. Justify your choices."
Geovisualization,Interactive Design Techniques:,Cartography and Visualization,"Write an essay to respond to the following question: What are the three important scientific and conceptual developments that influenced the development of geovisualization, and in which way these have been influential? Illustrate your arguments with examples."
Geovisualization,Interactive Design Techniques:,Cartography and Visualization,Using the Cartography
Geovisualization,Interactive Design Techniques:,Cartography and Visualization,3
Geovisualization,Interactive Design Techniques:,Cartography and Visualization,"framework (as shown below), indicate the approximate position of the following maps/ interfaces (shown in class) along the"
Geovisualization,Interactive Design Techniques:,Cartography and Visualization,communication ↔ visualization
Geovisualization,Interactive Design Techniques:,Cartography and Visualization,"axis: (a) Outputs from Tableau, New York Times or similar (choose one), (b) Your Campus Map, and (c) ArcGIS (screenshots of the maps/interfaces wi be provided by your instructor, if you’re doing the exercise on your own, select three that you are familiar with). Describe why each map fits into the selected location in the cube. Then, provide one example of an interactive map we discussed in lecture that you feel does not fall cleanly along the"
Geovisualization,Interactive Design Techniques:,Cartography and Visualization,communication↔ visualization
Geovisualization,Interactive Design Techniques:,Cartography and Visualization,"axis, and place this confounding interactive in the Cartography"
Geovisualization,Interactive Design Techniques:,Cartography and Visualization,3
Geovisualization,Interactive Design Techniques:,Cartography and Visualization,"diagram. Justify why it fails to align with this framework, based on the three axes that define the cube space."
Geovisual Analytics,Interactive Design Techniques:,Cartography and Visualization,Explain the key characteristics of geovisual analytics.
Geovisual Analytics,Interactive Design Techniques:,Cartography and Visualization,Describe the evolution of geovisual analytics as a sub-field in GIScience and its linkages to fields outside of Geography.
Geovisual Analytics,Interactive Design Techniques:,Cartography and Visualization,Propose and justify potential problem contexts for the application of geovisual analytics.
Geovisual Analytics,Interactive Design Techniques:,Cartography and Visualization,Design and implement a geovisual analytics system using a user-centered design approach.
Geovisual Analytics,Interactive Design Techniques:,Cartography and Visualization,What distinguishes geovisual analytics from Geovisualization and Cartography?
Geovisual Analytics,Interactive Design Techniques:,Cartography and Visualization,Which domains outside of Geography contribute to the development of geovisual analytics?
Geovisual Analytics,Interactive Design Techniques:,Cartography and Visualization,How are representational and computational methods selected to create geovisual analytics tools?
Geovisual Analytics,Interactive Design Techniques:,Cartography and Visualization,What types of human and environmental problems call for a geovisual analytics approach? Which problems would not?
Geovisual Analytics,Interactive Design Techniques:,Cartography and Visualization,What should be the system requirements for the development of a new geovisual analytics tool to support a real-world problem?
Agriculture,Agriculture,Domain Applications,Identify three sources of uncertainty in GIS&T data for agriculture and how these sources of uncertainty might interact with uncertainty widely present in agricultural systems.
Agriculture,Agriculture,Domain Applications,Map an information chain from data collection to service delivery for GIS&T in agriculture.
Agriculture,Agriculture,Domain Applications,"Differentiate the uses of GIS&T in agriculture a smallholder/developing world setting, versus large-scale agriculture in high income countries."
Agriculture,Agriculture,Domain Applications,Discuss the role that “
Agriculture,Agriculture,Domain Applications,knowledge brokers
Agriculture,Agriculture,Domain Applications,” have in facilitating the use of GIS&T in agriculture.
Agriculture,Agriculture,Domain Applications,Propose a sustainable business model built around a geoinformation application or service oriented to supporting either large scale or smallholder agriculture.
Agriculture,Agriculture,Domain Applications,What are some of the key factors driving the increased rates of adoption of GIS&T in Agriculture?
Agriculture,Agriculture,Domain Applications,Discuss three factors that add uncertainty to both data and analyses used in an agricultural context.
Agriculture,Agriculture,Domain Applications,Locate a recent news story on climate change and agriculture. Describe how you would develop a needs assessment to evaluate the use of GIS&T as a tool to support decision-making in the context of the article.
Agriculture,Agriculture,Domain Applications,What are some of the major limitations to widespread use of GIS&T as a tool to support smallholder agriculture?
Agriculture,Agriculture,Domain Applications,"Differentiate the information requirements, likely information resources, and the spatial and temporal resolution of information required by a large scale producer versus a small scale producer growing a similar crop."
Archaeology,Archaeology,Domain Applications,Describe the three primary applications of GIS&T for archaeology
Archaeology,Archaeology,Domain Applications,Identify and describe GIS&T tools commonly used in archaeological research
Archaeology,Archaeology,Domain Applications,Explain how environmental factors influence remote sensing tools.
Archaeology,Archaeology,Domain Applications,Describe the advantages and limitations of the different GIS&T tools.
Archaeology,Archaeology,Domain Applications,What are the primary applications of GIS&T in archaeology?
Archaeology,Archaeology,Domain Applications,Which remote sensing techniques can be used for both prospection and documentation?
Archaeology,Archaeology,Domain Applications,What is the primary characteristic of vegetation that is important in remote sensing for archaeology?
Archaeology,Archaeology,Domain Applications,What environmental factor determines the choice of geophysical survey to be used?
Archaeology,Archaeology,Domain Applications,Why is it important to understand the nature of the environment before selecting a tool?
Archaeology,Archaeology,Domain Applications,What perspective does GIS&T bring to archaeology and why is this important?
Civil Engineering,Civil Engineering,Domain Applications,Explain the use of GIS&T in the common sub-disciplines of the Civil Engineering profession.
Civil Engineering,Civil Engineering,Domain Applications,Explain and describe the common areas of research at the intersection of GIS&T and Civil Engineering.
Civil Engineering,Civil Engineering,Domain Applications,Provide an example of the use of GIS&T in each of the five sub-disciplines of civil engineering described in the chapter.
Civil Engineering,Civil Engineering,Domain Applications,The ability to transfer spatial data between GIS&T and civil engineering software platforms is critical in moving between system management and project design tasks for a civil engineer.  Consider a civil engineering system such a roadway network or municipal water system and discuss how the spatial scales between management of these system and the detailed design of a specific project may differ.
Civil Engineering,Civil Engineering,Domain Applications,Civil engineers design projects utilized by society so the visualization of the projects and their potential benefits and impacts to non-technical audiences are key.  Find an example of a technical civil engineering concept is being presented to non-technical audiences using GIS&T.
Digital Humanities,Digital Humanities,Domain Applications,Define and explain the meaning of the terms “digital humanities” and “spatial humanities”
Digital Humanities,Digital Humanities,Domain Applications,Provide examples of the use and utility of GIS&T in the digital humanities
Digital Humanities,Digital Humanities,Domain Applications,"Define and explain the meaning of the geographical concepts of space, place, and scale and how they relate to the humanities"
Digital Humanities,Digital Humanities,Domain Applications,"Discuss the precursors to the spatial turn in the humanities, and specifically the ideas of chronotope and geohistoire, and Hägerstrand’s time-geography"
Digital Humanities,Digital Humanities,Domain Applications,"Discuss the epistemological and ontological barriers to the use of GIS&T in the humanities, and possible solutions"
Digital Humanities,Digital Humanities,Domain Applications,Explain what is meant by “qualitative GIS” and “GIS of place” (or “platial GIS”)
Digital Humanities,Digital Humanities,Domain Applications,"How are GIS&T used to help the historian? In your answer, make sure you refer to historical GIS and archaeology."
Digital Humanities,Digital Humanities,Domain Applications,What are space and place? Define the terms and compare and contrast space and place from a methodological perspective.
Digital Humanities,Digital Humanities,Domain Applications,Explain the difference between quantitative and qualitative research methods.
Digital Humanities,Digital Humanities,Domain Applications,Describe how GIS&T and the GIScience method present challenges and opportunities for the humanities. Provide one or two examples of each.
Digital Humanities,Digital Humanities,Domain Applications,What is the “spatial turn” in the humanities and how does it relate to GIS&T and GIScience?
Digital Humanities,Digital Humanities,Domain Applications,What is the “GIS of place” (“platial GIS”)?
Digital Humanities,Digital Humanities,Domain Applications,"Explain what “deep maps” are and provide an example of a possible “deep map” of an area you are familiar with (the neighborhood you live in, for example)."
Education,Education,Domain Applications,Summarize the origins of GIS&T education in formal learning environments.
Education,Education,Domain Applications,"Explain how GIS educational has mirrored advances in computing and digital technologies, and the role of the Internet."
Education,Education,Domain Applications,"Describe the curricular, research, and administrative roles that GIS plays in higher education."
Education,Education,Domain Applications,Compare and contrast the “first” and “second” phases of GIS&T education.
Education,Education,Domain Applications,How has the internet affected the development of GIS instruction and its reach to diverse audiences?
Education,Education,Domain Applications,"What factors have continued to hamper uptake of GIS usage at the primary and secondary school levels, and why?"
Epidemiology,Epidemiology,Domain Applications,Discuss the importance of GIS in epidemiology.
Epidemiology,Epidemiology,Domain Applications,Compare and contrast the features of descriptive vs. analytic epidemiologic studies.
Epidemiology,Epidemiology,Domain Applications,Discuss the implications of geographic data availability in epidemiology.
Epidemiology,Epidemiology,Domain Applications,Explain how GIS has been used in exposure assessment and exposure modeling.
Epidemiology,Epidemiology,Domain Applications,Discuss issues and research challenges in epidemiologic studies using GIS.
Epidemiology,Epidemiology,Domain Applications,Describe research advances relevant to the use of GIS in epidemiology.
Epidemiology,Epidemiology,Domain Applications,Why is GIS important in epidemiology?
Epidemiology,Epidemiology,Domain Applications,What is a GIS-related research question that could be answered using a descriptive epidemiologic study?
Epidemiology,Epidemiology,Domain Applications,How does descriptive epidemiology inform analytic epidemiologic studies?
Epidemiology,Epidemiology,Domain Applications,What is a GIS-related research question that could be answered using an analytic epidemiologic study?
Epidemiology,Epidemiology,Domain Applications,What are some ways GIS can be used in analytic epidemiologic studies?
Epidemiology,Epidemiology,Domain Applications,Why is GIS well-suited to model environmental exposures?
Epidemiology,Epidemiology,Domain Applications,Why is individual-level information preferred in epidemiologic studies?
Epidemiology,Epidemiology,Domain Applications,How is remote sensing valuable to epidemiologic studies?
Epidemiology,Epidemiology,Domain Applications,Why is locational uncertainty important to consider in epidemiologic studies?
Epidemiology,Epidemiology,Domain Applications,Why might you prefer to link geocoded residential addresses to an exposure model that is 1 x 1 km in spatial resolution compared to an exposure model that is 100 x 100 km in spatial resolution?
Epidemiology,Epidemiology,Domain Applications,"What are some of the advantages offered by GIS with recent advances in personal exposure monitoring, exposome research, and geoAI in epidemiology?"
Forestry,Forestry,Domain Applications,"Create accurate point, line, and polygon feature data using GNSS alone, from field data collection, through data transfer, quality control, conversion, projection, and attribute creation. Moreover, the student should be able to explain the primary factors that affect accuracy, including satellite constellation configuration and PDOP, multi-system receivers, point averaging, signal interception, and multi-path errors, and how these may be avoided or their impacts minimized to achieve high accuracies."
Forestry,Forestry,Domain Applications,"Identify the primary Cartesian coordinate systems used in their region of interest, and the difference and projection from geographic to Cartesian systems. Estimate surface distances between points in either type of system."
Forestry,Forestry,Domain Applications,"Integrate basic, short distance plane surveying with GNSS to calculate coordinate locations, and establish points, lines, and polygons, and calculate areas. Demonstrate proficiency in basic angle measurements using handheld, staff, tripod, or electronic compass, and distance measurement with a chain, tape, or laser rangefinder."
Forestry,Forestry,Domain Applications,"Create and implement all workflows for field data collection, from developing field spatial and attribute data needs, designing and creating electronic field forms with pick lists and error trapping as appropriate, through upload, collection, download, quality control, intermediate processing, and integration into office spatial databases."
Forestry,Forestry,Domain Applications,"Identify, download, prepare, and interpret public data sources relevant to forestry, including USDA Agricultural Research Service National Aerial Imagery Program aerial photographs, NRCS SSURGO soils data, USGS digital elevation data, USDA National Agricultural Service Crop Data Layer data, USFWS National Wetlands Inventory data, and USGS National Hydrography Dataset streams, rivers, and lakes data."
Forestry,Forestry,Domain Applications,"Digitize features from high-resolution (sub-meter or better) digital color infrared aerial images, and identify the regionally important stand types and non-forest vegetation and landcover types.  Apply basic and intermediate vector editing techniques, including point and stream-mode digitizing, polygon auto-completion, selecting, clipping, and merging polygons, and splining and smoothing. The students can create topologically correct vector line and polygon layers, enforcing completeness and planarity as necessary in the data they create, and perform basic attribute table creation and manipulation."
Forestry,Forestry,Domain Applications,"Create a functional, multi-table database with proper primary and foreign keys and relevant attributes, e.g., inventory and harvest tables that may be joined to stand tables."
Forestry,Forestry,Domain Applications,"Understand, explain, and perform spatial and table selection, e.g., select all vegetation patches that are entirely underlain by erodible soils, or select all forest stands older than 80 years and more than 2000 feet from a road."
Forestry,Forestry,Domain Applications,"Understand, explain, and perform adjacency and proximity analysis, for example, identify all lands within 100 feet of perennial streams, or all forest stands adjacent to existing forest stands less than five years old."
Forestry,Forestry,Domain Applications,"Demonstrate basic skills in digital cartography, via the production of hardcopy and digital maps with appropriate layout and information."
Forestry,Forestry,Domain Applications,"Design a system for creating a given target spatial data layer, including end user needs assessment, geographic and attribute data characteristic and accuracy specifications, collection, quality control, and processing protocols, workflows, accuracy assessment and documentation, and metadata development."
Forestry,Forestry,Domain Applications,Evaluate spatial data processing workflows to verify each meets the specific information needs common in forest resource management.
Geodesign,Geodesign,Domain Applications,Define geodesign and describe how it contributes to GIS&T.
Geodesign,Geodesign,Domain Applications,Describe the four essential groups of people that are needed for a collaborative geodesign project.
Geodesign,Geodesign,Domain Applications,Describe the opportunities that might be possible in land planning and design practices through deploying the geodesign process.
Geodesign,Geodesign,Domain Applications,What are two advantages and two disadvantages of using the geodesign framework?
Geodesign,Geodesign,Domain Applications,How does size and scale of a given project impact the geodesign workflow?
Geodesign,Geodesign,Domain Applications,"How does geodesign provide value in taking on complex land-based challenges and finding geographically specific, adaptive and resilient solutions?"
Local Government,Local Government,Domain Applications,Summarize why and how GIS is used in local government.
Local Government,Local Government,Domain Applications,Explain how GIS makes local governments more efficient.
Local Government,Local Government,Domain Applications,Describe useful skills students should learn in higher education that would translate well to a career in local government GIS.
Marine Science,Marine Science,Domain Applications,"Identify, understand, and help overcome the barriers to use of scientific oceanographic data by GIS users, as well as increase the use of GIS tools by ocean science and resource management users."
Marine Science,Marine Science,Domain Applications,"Develop recommendations and practical solutions to help bridge the gap between ocean science/management and GIS, including increase integration of ocean data and improved analytical tools"
Marine Science,Marine Science,Domain Applications,"Improve communication between marine GIS practitioners and developers, particularly for science applications. This applies to both open source and proprietary systems"
Marine Science,Marine Science,Domain Applications,"Expand the reach of scientific ocean data to broader user communities, such as for decision support, coastal and marine spatial planning (CMSP; including the science"
Marine Science,Marine Science,Domain Applications,of
Marine Science,Marine Science,Domain Applications,CMSP)
Marketing,Marketing,Domain Applications,Describe the enabling technologies that have accelerated the adoption of GIS in marketing and explain their impact.
Marketing,Marketing,Domain Applications,"Explain the core marketing planning processes, identify GIS applications for each and describe the contribution of those applications,"
Marketing,Marketing,Domain Applications,"Describe how marketing managers use marketing research, market segmentation and consumer profiling to identify and exploit market opportunities. Explain how location analytics resources support these analytical processes."
Marketing,Marketing,Domain Applications,Identify and describe three specialized areas in marketing in which GIS resources are useful.  Explain the application of location analytics tools in each.
Marketing,Marketing,Domain Applications,"Describe how big data, continuous data tracking and streaming, the Internet of things (IoT) and SoLoMo marketing have enhanced enterprise knowledge of current and potential customers. Explain how location analytics tools have contributed to these technologies."
Marketing,Marketing,Domain Applications,Describe how the role of the GIS professional in supporting enterprise marketing efforts has expanded.  Explain how the enabling technologies and location analytics resources described here have enabled that expansion.
Marketing,Marketing,Domain Applications,"What are three enabling technologies which have accelerated the adoption of GIS tools in marketing? In your response, explain the contribution of each to the discipline."
Marketing,Marketing,Domain Applications,"What is the core marketing planning process? For each stage in that process, identify and describe one relevant GIS application and explain its contribution"
Marketing,Marketing,Domain Applications,"How do marketing research, market segmentation, and consumer profiling enable marketers to understand and target consumers more fully?  Can you describe three online GIS resources which support these activities and how they contribute to them?"
Marketing,Marketing,Domain Applications,"What are three specialized marketing functions in which GIS resources are useful? For each, describe one supporting location analytics tool and explain its value."
Marketing,Marketing,Domain Applications,"How have big data, continuous data tracking and streaming, the Internet of things (IoT) and SoLoMo marketing enhanced enterprise knowledge of current and potential customers? Identify and describe two location analytics tools which support these technologies."
Marketing,Marketing,Domain Applications,How has the role of the GIS professional in supporting enterprise marketing efforts expanded?  How have the enabling technologies and location analytics resources described in this topic enabled that expansion?
Marketing,Marketing,Domain Applications,You are a GIS professional in a consumer products enterprise. Write a 1.5 to 2 page memo to the Chief Marketing Officer explaining how emerging location analytics capabilities can enhance the firm’s marketing programs and how you can support those efforts by disseminating location analytics resources across the marketing organization.
Natural Resource Management,Natural Resource Management,Domain Applications,Describe how natural resource management is inherently spatial and benefits from the use of GIS.
Natural Resource Management,Natural Resource Management,Domain Applications,List at least four natural resource areas that benefit from the use of GIS.
Natural Resource Management,Natural Resource Management,Domain Applications,Summarize the hydrology commands used in GIS that help to analyze data for watershed management.
Natural Resource Management,Natural Resource Management,Domain Applications,Compare the spatial datasets of land cover and elevation as inputs for natural resource management.
Natural Resource Management,Natural Resource Management,Domain Applications,Explain how landscape analysis is found across many natural resource management applications.
Natural Resource Management,Natural Resource Management,Domain Applications,"If you are employed by a company that works in the area of natural resource management and they ask you to evaluate the decision to invest in GIS software, computing, and personnel, how would you make a convincing argument to pursue this direction for the company?"
Natural Resource Management,Natural Resource Management,Domain Applications,"Of the many spatial datasets used to aid in natural resource management, discuss which ones are critical to have the most temporal accuracy?"
Natural Resource Management,Natural Resource Management,Domain Applications,"When using GIS for natural resource management, how does the expertise of a forester, wildlife biologist, or hydrologist improve the interpretation of results calculated from a GIS?"
Natural Resource Management,Natural Resource Management,Domain Applications,Outline the approach to perform a land cover change analysis between two spatial land cover datasets.
Public Health,Public Health,Domain Applications,Explain why GIS is demanded in public health.
Public Health,Public Health,Domain Applications,Describe what public health issues GIS have been applied to.
Public Health,Public Health,Domain Applications,Investigate the frontiers of the applications in public health that are being pushed by the development of GIS.
Public Health,Public Health,Domain Applications,What are the three general issues in public health that GIS have been applied to?
Public Health,Public Health,Domain Applications,"In spatial epidemiology, why do we need to distinguish chronic diseases and communicable diseases?"
Public Health,Public Health,Domain Applications,Give three examples of using GIS to model environmental exposures.
Public Health,Public Health,Domain Applications,"Between a method only considering the nearest facility and a method considering the convenience of accessing multiple facilities, which is more reasonable in assessing the access to healthcare services?"
Real Estate,Real Estate,Domain Applications,"Explain why “location, location, location” would be a key tenet of the real estate business."
Real Estate,Real Estate,Domain Applications,Define and describe the set of knowledge and skills that a Real Estate GIS Specialist is likely to require.
Real Estate,Real Estate,Domain Applications,Discuss how GIS and related digital geospatial technologies have influenced the workflows of a real estate appraiser.
Real Estate,Real Estate,Domain Applications,"​​​​​​Explore the IAAO-standardized database of real property for Alachua County, Florida ("
Real Estate,Real Estate,Domain Applications,http://www.acpafl.org
Real Estate,Real Estate,Domain Applications,and its ArcGIS Portal -
Real Estate,Real Estate,Domain Applications,http://maps.acpafl.org/portal/index.html
Real Estate,Real Estate,Domain Applications,".  Use the data available here to conduct any one of the real estate GIS “tasks” described in Section 4, above."
Retail Business,Retail Business,Domain Applications,Identify sources of data used for analysis within retail GIS and describe how the data are integrated.
Retail Business,Retail Business,Domain Applications,"Discuss the concept of Census geographies, demography, and the origins of market segmentation, and the role that plays in retail GIS."
Retail Business,Retail Business,Domain Applications,"Retail sales are a function of market characteristics (Jones, 1990), and important characteristics include customers' income, location, demographics and lifestyle (the latter two are often combined into the term ""psychographics""). Explain the role of each of these characteristics plays when a retailer considers a location."
Retail Business,Retail Business,Domain Applications,"Examine how location relates to customer behavior, and how this might differ in an urban versus a suburban or rural setting."
Retail Business,Retail Business,Domain Applications,"Discuss the factors which influence site selection, such as available land or AADT’s (Annual Average Daily Trips)."
Retail Business,Retail Business,Domain Applications,"Describe the appropriate context for using simple rings, and identify the limitations and how issues like population density or income changes be accounted for."
Retail Business,Retail Business,Domain Applications,Compare and contrast data-driven rings differ with simple rings accounting for their suitability in different settings.
Retail Business,Retail Business,Domain Applications,Explain how Thiessen Polygons account for physical barriers and how they can be used in retail settings.
Retail Business,Retail Business,Domain Applications,Explain how Drive-Time Rings account for physical barriers and the relative importance of road speeds.
Retail Business,Retail Business,Domain Applications,Identify and describe the limitations of drive-time rings in different settings and how GIS manages these.
Retail Business,Retail Business,Domain Applications,"Differentiate between drive-time rings and network partitions, including their utility for retail settings. ."
Retail Business,Retail Business,Domain Applications,Identify data sources that can be integrated into network partition models.
Retail Business,Retail Business,Domain Applications,Classify the different metrics that can be used to measure or quantify “attractiveness” for a retailer.
Retail Business,Retail Business,Domain Applications,Review the limitations of the Huff model in its pure form.
Retail Business,Retail Business,Domain Applications,Identify additional tools that can be incorporated along with the Huff Model to get a more accurate trader area and/or to take into consideration of physical travel barriers.
Retail Business,Retail Business,Domain Applications,"Location decisions are very important for retailers. What are the impacts of a poor location decision, and are their factors that can overcome a poor location decision?"
Retail Business,Retail Business,Domain Applications,"Of the Seven P’s of marketing, specifically “Place, People, and Physical Distribution,” which impact the location decision process?"
Retail Business,Retail Business,Domain Applications,"When looking at site selection at the granular level, what are the location strategies that retailers use in siting their locations? Prominent location near a busy street or on a site pad located off of a secondary access point?"
Retail Business,Retail Business,Domain Applications,How important is having highway visibility for site selection?  Is being located on a major or secondary arterial satisfactory? Does it depend on the retailer type?
Retail Business,Retail Business,Domain Applications,"In the examples provided in this chapter, what are the location strategies that McDonald’s and Walmart both used in siting their locations in the Tri-Cities area? Did they use a rule-of-thumb approach, or something more advanced such as a ranking, or a regression analysis? How might other factors such as natural (physical barriers), institutional (municipal boundaries), sales tax differentials, competition, population density, or distance decay (potential customers located too far away), played a role?"
Liability,Law Regulation and Policy,GIS&T and society,Describe the nature of tort law generally and nuisance law specifically
Liability,Law Regulation and Policy,GIS&T and society,"Describe strategies for managing liability risk, including disclaimers and data quality standards"
Liability,Law Regulation and Policy,GIS&T and society,"Describe cases of liability claims associated with misuse of geospatial information, erroneous information, and loss of proprietary interests"
Liability,Law Regulation and Policy,GIS&T and society,"Differentiate among contract liability, tort liability, and statutory liability"
Location Privacy,Law Regulation and Policy,GIS&T and society,Define location privacy.
Location Privacy,Law Regulation and Policy,GIS&T and society,Situate location privacy within general privacy.
Location Privacy,Law Regulation and Policy,GIS&T and society,Draw connections between location privacy and GIS&T.
Location Privacy,Law Regulation and Policy,GIS&T and society,"Discuss how spatial data, GPS-enabled devices such as smartphones, the Internet of Things (geolocated objects that provide their location), and the Software as a Service (SaaS) GIS model have combined to bring society to its current high concern about location privacy."
Location Privacy,Law Regulation and Policy,GIS&T and society,Discuss the types of location privacy.
Location Privacy,Law Regulation and Policy,GIS&T and society,Describe ways to protect location privacy.
Location Privacy,Law Regulation and Policy,GIS&T and society,Discuss societal benefits and potential societal harm from the use of individuals’ location information.
Location Privacy,Law Regulation and Policy,GIS&T and society,"Use activity based on individuals’ location information, such as adding data to a crowdsourced map or using map showing social media postings on specific topics."
Location Privacy,Law Regulation and Policy,GIS&T and society,"Have the international Organization for Economic Cooperation and Development’s eight fundamental principles in handling personal data in the GIS&T community been fully adhered to, as GIS&T has evolved since the article was written?"
Location Privacy,Law Regulation and Policy,GIS&T and society,Which of these eight principles is most often violated and why?
Location Privacy,Law Regulation and Policy,GIS&T and society,
Location Privacy,Law Regulation and Policy,GIS&T and society,Which of the eight principles will pose the greatest risk of being violated in the future?
Location Privacy,Law Regulation and Policy,GIS&T and society,
Location Privacy,Law Regulation and Policy,GIS&T and society,Consider the evolving issues surrounding access to data versus privacy of information:
Location Privacy,Law Regulation and Policy,GIS&T and society,"As a GIS&T user, do you favor wider or narrower access to geospatial data?   Why?"
Location Privacy,Law Regulation and Policy,GIS&T and society,
Location Privacy,Law Regulation and Policy,GIS&T and society,"Now considering your role as a private citizen, does your opinion about access to geospatial data change? Why or why not?"
Location Privacy,Law Regulation and Policy,GIS&T and society,
Location Privacy,Law Regulation and Policy,GIS&T and society,"How do you see the issues of privacy in the GIS&T world playing out in the future, either coming to a resolution or becoming increasingly complicated?"
Location Privacy,Law Regulation and Policy,GIS&T and society,"Like many other digital technologies, GIS developed rapidly and became established before concerns were raised about the ethical implications of its use. As a user of GIS, you are responsible for the ethical use of the information and the conclusions you derive.  You should ask yourself the following questions when you publish data:"
Location Privacy,Law Regulation and Policy,GIS&T and society,Are you propagating any errors in the data?
Location Privacy,Law Regulation and Policy,GIS&T and society,
Location Privacy,Law Regulation and Policy,GIS&T and society,Are you protecting people’s privacy in the data you are using?
Location Privacy,Law Regulation and Policy,GIS&T and society,
Location Privacy,Law Regulation and Policy,GIS&T and society,Are you creating maps that are clear and unambiguous and will not mislead your readers?
Location Privacy,Law Regulation and Policy,GIS&T and society,
Location Privacy,Law Regulation and Policy,GIS&T and society,Are you disclosing your data sources?
Location Privacy,Law Regulation and Policy,GIS&T and society,
Location Privacy,Law Regulation and Policy,GIS&T and society,Are you being fair in your assessment of the problem?
Location Privacy,Law Regulation and Policy,GIS&T and society,
Location Privacy,Law Regulation and Policy,GIS&T and society,"Are you respecting people’s lives, rights, and property?"
Location Privacy,Law Regulation and Policy,GIS&T and society,
Citizen Science with GIS&T,Governance and Agency,GIS&T and society,"Define Citizen Science, Crowdsourcing, Volunteered Geographic Information (VGI), Gamification and Hackathon"
Citizen Science with GIS&T,Governance and Agency,GIS&T and society,"Discuss different types of Citizen Science activities (passive sensing, volunteer computing, volunteer thinking, environmental and ecological observation, participatory sensing, community/civic science) and potential motivations (intrinsic and extrinsic motives) participants may have to engage with projects"
Citizen Science with GIS&T,Governance and Agency,GIS&T and society,"Demonstrate an understanding of models of participation (contractual projects, contributory projects, collaborative projects, co-created projects, collegial contributions) (Shirk et al., 2012)."
Citizen Science with GIS&T,Governance and Agency,GIS&T and society,"Describe the five elements of the Framework for citizen science projects (inputs, activities, outputs, outcomes, impacts) (Shirk et al., 2012)."
Citizen Science with GIS&T,Governance and Agency,GIS&T and society,"Discuss some positive (increased interest in science, innovations in GIS&T) and negative aspects (digital divide issues, purposeful misinformation) that may affect people when using GIS&T in Citizen Science projects"
Citizen Science with GIS&T,Governance and Agency,GIS&T and society,"Describe some methods of encouraging and sustaining engagement in Citizen Science projects using GIS&T (gamification, crowdsourcing initiatives, mapping parties, hackathons)"
Citizen Science with GIS&T,Governance and Agency,GIS&T and society,"Discuss ways of handling potential data quality issues associated with data collected through GIS&T on Citizen Science projects (moderation, checking data) and the value of collected data (increased awareness and support, scales of possible data collection)"
Citizen Science with GIS&T,Governance and Agency,GIS&T and society,"Discuss the benefits (greater participation rates, increased external validity, decreased loss of follow-up, increased individual and community capacity) and drawbacks (selection bias, decreased randomization, unrepresentative groups) for community involvement in community-based participatory research"
Citizen Science with GIS&T,Governance and Agency,GIS&T and society,How would you go about collecting initial information around a potential topic of interest for a Citizen Science project and what might be some ways of presenting it to a community that would use GIS&T?
